dr12objid,RA,DEC,redShift,nuv_mag,j,jIvar,h,hIvar,k,kIvar,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,nearest_galexid,petromag_r,petror90_r
1237662637441351737,222.1774,12.45722,0.005938118,15.467021624247232,12.9,566.8934,12.475,210.0399,12.23,307.787,15.63537,13.87578,13.21108,12.8995,12.65602,3758537700543568163,13.28848,27.54781
1237662662133153854,215.3546,35.27063,0.01136277,16.89153671264645,13.721,216.263,13.083,164.3655,12.581,416.4931,15.42186,13.85841,13.17801,12.78249,12.5192,6379289726241736004,13.23258,25.95413
1237667781214470169,161.5115,19.53775,0.00432528,19.2523746490479,15.782,132.1179,15.176,108.5069,14.879,94.25959,17.72508,16.56054,16.03158,15.73875,15.58812,6382632250180110878,15.94475,8.226241
1237658203437400078,183.6469,49.11328,0.01183252,19.251412391662598,16.649,47.56243,15.924,26.03082,15.259,42.16563,17.94468,17.08075,16.73181,16.63302,16.51118,3074272032162055863,16.87899,6.005216
1237665128525135993,136.2253,25.00393,0.009978974,16.2957983016968,15.305,106.2812,14.762,71.81844,14.492,81.16225,15.00169,13.80407,13.25302,12.83735,12.77163,3719658969387507502,13.32798,30.04866
1237661811202457690,188.0974,11.26297,0.005016531,18.84816131591796,14.635,38.10395,13.972,24.26654,13.663,54.06574,15.97673,14.32215,13.56031,13.14909,12.94406,2499535314090986331,13.56216,22.55517
1237660344474796095,148.7107,41.81654,0.007621265,18.1013946533203,15.195,204.0816,14.682,115.6203,14.441,98.0296,16.11913,15.03964,14.58581,14.3618,14.15993,6373941621153596582,14.97346,14.32484
1237668494708506700,176.8115,16.56379,0.01126936,17.6832580566406,16.41,46.91312,15.059,0.0,14.662,0.0,17.18656,16.08058,15.69829,15.49092,15.38136,6378867492301833842,15.72167,15.71705
1237665331456049205,166.1948,32.11461,0.006138291,19.19534301757815,16.057,120.7584,15.649,59.1716,14.509,0.0,17.92467,16.84837,16.47908,16.2859,16.13122,3083068125184274500,16.40525,6.877434
1237661971723190386,186.6998,7.671539,0.002035043,19.6878342628479,15.071,74.31629,14.384,59.1716,14.133,75.61436,17.07455,15.4944,14.84524,14.49766,14.24938,3084475500067827927,15.09694,11.56713
