galexid,sdss_id,survey,nuvExposureTime,fuvExposureTime,ra,dec,nuv_mag,nuv_magErr,fuv_mag,fuv_magErr,e_bv
6375665646796017137,1237665442068431070,AIS,160,160,233.829577776798,20.8427367483758,16.8330707550049,0.0252395421266556,17.4246597290039,0.0499815344810486,0.0694378390908241
6375665654312207581,1237665534929535162,AIS,160,160,236.435356768904,20.5602475397767,15.5724925994873,0.0146908983588219,15.8959350585938,0.0221671611070633,0.0533220134675503
6375665663975882888,1237665532258287699,AIS,335.1,194.05,236.51400541559,18.3380186580635,19.1800289154053,0.0566041208803654,19.4379482269287,0.121875569224358,0.0314979702234268
6375665672565819489,1237665441533329494,AIS,205,205,237.594674558327,18.9390749167545,15.6631193161011,0.0127321016043425,16.1282348632813,0.0242701545357704,0.0404597222805023
6374856423415742709,1237665227841929293,AIS,268,189,183.912446089887,33.1596997473613,19.4893703460693,0.0778607800602913,-999,-999,0.0123161403462291
6375665672565819510,1237665441533460784,AIS,205,205,237.952339937801,18.8668965940998,19.4207973480225,0.0732507035136223,19.84104347229,0.143658608198166,0.0395741015672684
6375665673639560809,1237665549435863188,AIS,349,208,236.744661144865,17.8846480449717,14.4476766586304,0.00508978078141809,14.9231004714966,0.0126757733523846,0.0336254797875881
6374575024675754676,1237661434850312248,AIS,94.35,94.35,202.104777438881,46.5924427989721,-999,-999,17.4945182800293,0.070647269487381,0.0268574375659227
6375665673639561261,1237665531721613343,AIS,349,208,236.722303880126,17.8726720940817,16.7908706665039,0.01522964425385,17.2289619445801,0.036504689604044,0.0336254797875881
6375665673639564106,1237665532258287699,AIS,349,208,236.513980253048,18.3380391921451,19.0855503082275,0.0449489913880825,19.2781505584717,0.0948395133018494,0.0314979702234268
6375102730128589648,1237654399153668176,AIS,106,106,171.927994706339,64.1674226185863,18.6105690002441,0.0649267956614494,18.8273143768311,0.119075328111649,0.00848367530852556
